Class_in,Ethnic Marker,OCWhite,OCBlack,OCAIAN,OCChinese,OCFilipino,OCAsianIndian,OCVietnamese,OCKorean,OCJapanese,OCNatHaw,OCSamoan,OCChamorro,OCOPI,OCOther,OtherRace,PCWhite,PCLatino,PCBlack,PCAsian,PCAIAN,PCMENA,PCNHPI,StreetRace,LatinoIdentity,Other_LatIdentity,Crime_LI,Crime_I,Finance,Physical,Mental,Sleep,Tasks,Relationships,Discrim_Latino,Discrim_Black,Discrim_White,Discrim_Imm,Trump,Biden,Harris,Vance,AOC,Desantis,Newsom,Sanders,MTG,SCOTUS,Congress,CGA,MAGA,Democrat,Republican,American,Personal
2,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,,5,4,2,1,2,2,3,,5,,5,0,60,60,0,70,0,,70,0,25,20,,0,40,0,3,4
1,1,,,,,,1,,,,,,,,,,,,,,,,,4,1,,,5,2,1,2,2,2,2,,3,,3,7,73,68,5,65,2,67,85,0,33,55,,0,83,21,2,4
1,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,,5,2,2,1,1,1,2,,5,,5,0,74,75,0,100,0,65,100,10,41,60,50,0,65,19,3,4
1,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,,5,1,2,1,1,2,3,,5,,5,0,25,40,0,35,0,50,100,30,0,20,40,0,0,0,2,3
1,2,1,,,,,,,,,,,,,,,,,,,,,,2,10,,5,,2,1,1,1,1,1,,,1,5,0,100,100,0,100,0,100,100,0,15,30,88,0,92,0,2,5
3,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,4,,4,2,1,1,2,1,,,2,4,8,45,38,12,70,18,80,100,10,30,50,,2,85,5,3,3
1,2,1,,,,,,,,,,,,,,,,,,,,,,2,10,,5,,2,2,1,2,2,2,5,,,5,0,54,77,0,100,0,68,100,26,26,30,59,0,33,16,3,2
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,4,,2,2,2,2,2,2,,,3,4,30,30,45,40,,,,,,80,65,,25,35,35,3,
1,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,,5,2,2,1,1,2,2,,4,,5,0,30,50,30,50,50,50,50,50,20,31,50,0,70,10,4,2
2,,,,,,,,,,,,,,,,,,1,,,,,,2,9,,5,,2,2,1,1,2,1,5,,,5,0,33,80,0,70,0,50,60,,21,31,18,0,70,20,2,4
