democratic_party_therm,republican_party_therm,respondent_pid,respondent_race,respondent_gender,christ_fundementalist_therm,feminist_therm,labor_union_therm,poor_therm,big_biz_therm,rich_therm,police_therm,scientists_therm
60,40,2,1,2,40,70,60,50,60,50,85,70
50,60,4,5,1,70,70,70,70,85,70,50,70
40,40,3,1,2,85,85,0,85,40,85,85,85
40,70,5,1,1,0,70,40,90,60,50,80,100
40,60,5,1,1,70,40,15,60,40,85,70,85
40,30,3,1,2,50,50,50,50,50,50,70,50
50,50,2,5,2,50,50,50,50,50,50,50,50
50,50,4,1,2,60,60,40,70,40,60,85,85
15,100,7,1,2,70,60,50,70,50,50,70,85
15,85,6,3,1,50,70,85,100,70,85,70,85
85,15,2,2,2,15,85,70,70,30,70,70,100
85,30,1,1,2,40,100,100,100,70,85,100,100
60,50,3,2,1,70,50,60,85,70,50,70,100
60,70,6,6,1,50,50,40,60,30,60,70,70
0,85,7,1,1,60,0,70,85,70,50,100,100
60,60,4,2,1,30,30,15,50,0,50,50,60
85,30,2,2,2,30,60,60,85,50,50,40,50
85,60,3,2,2,85,80,85,85,85,85,85,85
50,30,4,2,2,100,85,100,100,30,50,100,100
60,70,5,1,2,50,50,60,60,40,40,85,50
60,50,4,5,1,50,60,50,85,15,30,30,70
0,40,5,3,1,60,0,0,100,70,70,100,50
100,0,1,1,2,15,60,85,50,50,50,100,100
65,55,3,5,1,30,50,35,60,60,45,70,100
50,50,4,5,2,50,50,50,50,75,50,90,80
40,70,6,1,2,50,40,60,60,70,60,70,70
15,70,7,5,1,70,85,40,60,85,85,85,70
40,60,3,1,2,50,50,50,50,85,85,70,85
40,15,4,1,1,50,50,50,50,40,50,60,50
50,50,6,2,1,50,50,50,60,50,50,50,85
40,70,5,1,1,60,40,60,60,60,60,85,60
60,40,4,5,1,30,40,30,100,100,40,100,100
50,100,5,1,2,70,0,40,70,60,50,85,60
85,15,1,1,2,0,85,85,85,30,50,70,100
40,60,6,1,2,85,50,50,100,50,50,100,100
15,40,7,1,1,70,40,30,50,40,50,85,70
30,85,7,1,1,60,50,85,100,85,70,100,85
50,30,2,5,1,50,60,50,70,50,40,50,50
30,70,7,1,2,40,40,50,85,70,70,85,85
60,60,4,1,2,60,60,50,60,50,50,70,60
40,70,5,1,2,15,40,40,50,60,50,70,50
50,50,5,1,1,85,50,50,70,60,15,100,50
0,40,5,1,2,60,85,40,70,70,60,85,85
60,0,3,1,1,15,100,40,70,30,40,50,85
15,100,6,5,1,70,100,100,100,0,50,0,100
15,60,7,1,2,40,40,70,100,60,85,100,60
0,75,7,1,1,100,50,70,85,70,50,85,30
30,50,7,1,1,50,30,40,50,50,50,100,50
15,15,5,1,2,50,50,30,50,50,50,70,50
0,0,4,1,1,0,0,0,100,0,0,85,50
30,60,7,1,2,85,30,40,50,70,50,85,50
70,60,2,1,2,60,40,85,70,40,40,100,70
60,15,1,1,2,40,50,70,50,30,50,70,60
60,30,1,2,2,40,70,50,50,50,50,40,85
15,15,4,2,1,0,85,100,100,15,15,85,85
85,70,4,6,2,100,30,60,85,50,70,85,85
30,85,7,1,2,50,40,50,50,40,50,70,50
40,70,5,1,2,50,50,70,60,70,40,60,60
40,50,5,1,1,50,60,40,70,50,50,85,70
85,15,1,2,1,70,60,85,100,30,60,60,100
85,30,3,1,1,50,30,70,60,60,50,100,100
40,60,5,3,1,30,50,15,70,70,40,40,85
0,70,7,1,1,85,15,30,100,40,60,85,70
60,30,2,1,2,30,85,50,60,40,50,70,85
40,0,3,2,1,40,85,60,85,30,70,50,85
15,60,7,1,1,15,50,40,60,70,50,85,60
15,85,6,1,2,60,40,30,70,50,70,70,70
30,70,7,1,1,60,50,40,100,85,100,100,50
0,60,6,1,2,60,40,50,85,30,50,85,50
15,70,7,1,2,100,40,0,50,40,100,100,100
0,60,7,1,1,50,40,40,60,40,60,70,70
70,30,1,2,1,50,50,60,85,70,30,40,70
85,30,1,2,1,100,100,100,100,100,70,40,100
15,15,4,1,1,85,0,40,100,60,60,65,70
15,15,5,1,1,100,70,50,70,60,50,50,70
60,40,1,1,2,40,60,60,85,30,40,60,60
60,70,2,1,2,100,60,60,85,60,60,85,85
60,30,3,1,1,50,85,60,70,50,50,100,60
85,30,1,5,2,85,60,70,85,70,60,60,85
100,50,1,5,2,50,70,70,100,50,50,85,70
50,15,1,2,1,85,85,70,100,70,40,85,70
75,38,2,1,1,5,51,55,49,5,40,38,90
