date,one,None,Level1,Level2,Level3,gender_binary
2024-07-03,450,181,148,64,57,401
2024-07-04,141,66,19,22,34,127
2024-07-05,336,112,119,37,68,305
2024-07-06,59,32,11,8,8,51
2024-07-07,53,25,10,6,12,46
2024-07-08,360,171,88,51,50,313
2024-07-09,394,177,87,57,73,340
2024-07-10,445,190,127,58,70,390
2024-07-11,402,150,114,53,85,350
2024-07-12,438,180,121,71,66,392
2024-07-13,55,30,14,4,7,51
2024-07-14,59,28,13,5,13,57
2024-07-15,345,163,102,34,46,306
2024-07-16,414,190,115,64,45,373
2024-07-17,449,218,118,48,65,400
2024-07-18,419,180,123,63,53,373
2024-07-19,394,124,146,57,67,369
2024-07-20,73,37,11,16,9,59
2024-07-21,60,29,12,9,10,54
2024-07-22,324,169,68,46,41,282
2024-07-23,458,211,131,69,47,403
2024-07-24,404,200,103,44,57,346
2024-07-25,399,173,104,58,64,353
2024-07-26,390,148,126,61,55,354
2024-07-27,63,26,13,11,13,58
2024-07-28,72,30,14,13,15,68
2024-07-29,420,216,101,52,51,355
2024-07-30,417,198,109,48,62,360
2024-07-31,434,201,122,62,49,376
2024-08-01,425,177,122,66,60,380
2024-08-02,382,118,131,69,64,347
2024-08-03,67,38,9,13,7,59
2024-08-04,72,41,9,13,9,69
2024-08-05,339,147,93,45,54,297
2024-08-06,391,181,114,48,48,340
2024-08-07,388,188,97,45,58,330
2024-08-08,391,167,106,58,60,343
2024-08-09,387,149,126,56,56,341
2024-08-10,61,30,7,13,11,48
2024-08-11,72,39,17,8,8,63
2024-08-12,387,193,84,55,55,343
2024-08-13,390,165,123,51,51,347
2024-08-14,394,189,93,58,54,351
2024-08-15,384,172,103,54,55,339
2024-08-16,398,131,142,69,56,366
2024-08-17,53,25,13,3,12,50
2024-08-18,63,33,12,8,10,51
2024-08-19,366,182,87,46,51,319
2024-08-20,445,218,127,53,47,392
2024-08-21,433,201,112,70,50,373
2024-08-22,402,167,103,61,71,354
2024-08-23,365,142,112,46,65,325
2024-08-24,73,45,4,9,15,59
2024-08-25,53,31,4,8,10,52
2024-08-26,383,179,102,43,59,343
2024-08-27,395,172,112,48,63,352
2024-08-28,488,245,116,69,58,422
2024-08-29,373,152,99,62,60,330
2024-08-30,414,170,124,54,66,378
2024-08-31,54,29,13,3,9,48
2024-09-01,84,54,8,8,14,77
2024-09-02,102,51,19,17,15,92
2024-09-03,401,177,117,49,58,344
2024-09-04,436,226,98,57,55,379
2024-09-05,395,152,109,61,73,366
2024-09-06,391,154,132,58,47,343
2024-09-07,48,21,8,9,10,36
2024-09-08,67,39,8,8,12,57
2024-09-09,408,179,122,45,62,348
2024-09-10,384,172,112,52,48,330
2024-09-11,397,182,99,60,56,341
2024-09-12,360,139,106,47,68,327
2024-09-13,376,132,135,58,51,331
2024-09-14,48,21,14,7,6,41
2024-09-15,68,33,9,9,17,60
2024-09-16,382,190,112,46,34,332
2024-09-17,423,206,110,50,57,367
2024-09-18,383,160,118,56,49,351
2024-09-19,418,164,122,67,65,368
2024-09-20,370,143,125,54,48,337
2024-09-21,58,30,13,9,6,45
2024-09-22,55,29,13,6,7,51
2024-09-23,340,157,76,54,53,305
